"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Itápolis","SP",77.8,88.9,49.6,78.74
"Matelândia","PR",100,81.8,49.56,71.64
"Naviraí","MS",76.9,53.8,50.03,43.66
"Correntes","PE",77.8,44.4,49.43,34.27
"Bom Jesus do Oeste","SC",77.8,100,50.56,89.87
"Crissiumal","RS",66.7,100,49.08,89.87
"Gravatá","PE",100,60,48.27,49.9
"Ituporanga","SC",100,100,49.87,89.91
"Várzea Paulista","SP",100,72.7,49.88,62.61
"Praia Grande","SC",88.9,100,50.34,89.91
"Marilena","PR",88.9,55.6,51.52,45.51
"Rio do Sul","SC",80,100,48.99,89.94
"Santana da Ponte Pensa","SP",100,88.9,51.25,78.85
"Divisa Alegre","MG",77.8,33.3,49.37,23.25
"Carmésia","MG",100,33.3,49.84,23.26
"Araruna","PR",100,77.8,50.85,67.77
"Santa Rosa do Sul","SC",100,100,50.29,89.98
"Acorizal","MT",77.8,33.3,52.57,23.28
"Camboriú","SC",73.3,93.3,49.97,83.3
"Araranguá","SC",100,100,49.16,90.01
"Toropi","RS",88.9,100,52.88,90.01
"Quatro Pontes","PR",77.8,100,48.65,90.03
"Ingazeira","PE",88.9,55.6,50.93,45.64
"Benedito Novo","SC",77.8,100,51.08,90.04
"Viadutos","RS",100,100,49.33,90.06
"Herval d'Oeste","SC",100,81.8,49.42,71.86
"Novo Horizonte do Norte","MT",77.8,44.4,51.64,34.46
"Mandaguari","PR",77.8,77.8,49.1,67.88
"Leopoldina","MG",93.3,60,48.01,50.09
"Tio Hugo","RS",77.8,88.9,50.37,79
"Braço do Norte","SC",63.6,100,50.08,90.1
"Neves Paulista","SP",100,88.9,49.74,79.01
"São Miguel dos Milagres","AL",77.8,33.3,49.74,23.41
"Milhã","CE",66.7,55.6,49.89,45.72
"Cosmorama","SP",77.8,88.9,50.62,79.04
"Douradoquara","MG",66.7,77.8,52.69,67.95
"Holambra","SP",77.8,77.8,50.67,67.96
"Afonso Cunha","MA",88.9,22.2,50.33,12.36
"Serra da Saudade","MG",100,55.6,52.76,45.77
"Matupá","MT",88.9,55.6,51.9,45.77
"São Luís do Paraitinga","SP",100,88.9,51.15,79.08
"São Pedro do Butiá","RS",100,100,50.68,90.18
"Senador Salgado Filho","RS",88.9,100,50,90.19
"Caatiba","BA",100,33.3,52.47,23.49
"Envira","AM",90.9,36.4,51.36,26.61
"Chiapetta","RS",66.7,88.9,48.84,79.13
"Remígio","PB",81.8,45.5,47.66,35.74
"Manacapuru","AM",80,26.7,51.05,16.94
"Palhoça","SC",94.1,94.1,49.83,84.34
"Damião","PB",88.9,44.4,50.2,34.65
"Padre Marcos","PI",88.9,44.4,48.51,34.66
"Ilha Solteira","SP",100,66.7,48.67,56.97
"Coqueiros do Sul","RS",66.7,100,51.08,90.27
"Fortaleza","CE",86,46.5,46.81,36.78
"Aracaju","SE",91.7,41.7,46.48,31.99
"Marialva","PR",88.9,77.8,49.42,68.09
"Japaratuba","SE",72.7,27.3,49.75,17.6
"Itaobim","MG",90.9,36.4,49.96,26.72
"Biguaçu","SC",86.7,93.3,49.25,83.62
"Taquarivaí","SP",66.7,88.9,50.05,79.23
"Canas","SP",100,66.7,50.7,57.04
"Rio Piracicaba","MG",88.9,44.4,48.87,34.74
"Verê","PR",100,88.9,49.99,79.25
"Estância Velha","RS",77.8,100,49.41,90.35
"Afogados da Ingazeira","PE",100,53.8,47.85,44.15
"Quatá","SP",100,66.7,49.95,57.06
"Passo de Torres","SC",100,100,50.58,90.36
"Paranaíta","MT",77.8,55.6,53.73,45.96
"Guabiruba","SC",88.9,100,50.74,90.38
"Carmo do Cajuru","MG",90.9,72.7,50.12,63.09
"Capivari de Baixo","SC",100,90.9,48.44,81.3
"Bom Retiro do Sul","RS",100,100,49.29,90.42
"Novo Hamburgo","RS",92.9,100,48.45,90.42
"Xavantina","SC",88.9,100,52.15,90.42
"Paula Freitas","PR",88.9,88.9,51.56,79.33
"Tocos do Moji","MG",77.8,100,54.28,90.43
"Lavras da Mangabeira","CE",84.6,46.2,50.07,36.64
"Marataízes","ES",100,69.2,49.43,59.65
"Chapada do Norte","MG",100,18.2,49.02,8.65
"Além Paraíba","MG",92.3,53.8,48.15,44.25
"General Câmara","RS",90.9,100,50.11,90.46
"Marechal Cândido Rondon","PR",100,92.3,48.77,82.77
"São Tomé","PR",88.9,77.8,50.4,68.27
"Juazeiro do Norte","CE",76.2,42.9,47.35,33.37
"Nova Luzitânia","SP",77.8,66.7,52.89,57.19
"Vermelho Novo","MG",88.9,44.4,51.76,34.89
"Pedro Laurentino","PI",88.9,33.3,51.97,23.81
"Imbé","RS",88.9,100,49.03,90.51
"Lauro Muller","SC",88.9,100,50.02,90.51
"Hortolândia","SP",94.7,63.2,50.57,53.72
"Vitória das Missões","RS",88.9,88.9,51.48,79.43
"Poxoreo","MT",90.9,36.4,52.61,26.94
"Novo Machado","RS",77.8,100,49.63,90.55
"São Sebastião do Anta","MG",100,44.4,50.93,34.95
"Caxingó","PI",100,33.3,52.71,23.85
"Paudalho","PE",100,38.5,49.08,29.06
"Morro da Fumaça","SC",100,100,50.09,90.56
"Paulo Jacinto","AL",77.8,44.4,48.9,34.96
"Ipecaetá","BA",100,27.3,49.48,17.87
"Santa Mônica","PR",100,55.6,51.61,46.18
"Nova Fátima","BA",88.9,33.3,49.89,23.88
"Piên","PR",88.9,88.9,51.25,79.49
"Catas Altas","MG",66.7,44.4,49.3,35
"Mariópolis","PR",88.9,77.8,49.71,68.4
"Canguçu","RS",100,100,50.43,90.61
"São José do Jacuri","MG",100,33.3,50.83,23.91
"Lindoeste","PR",66.7,66.7,52.08,57.32
"Naque","MG",88.9,33.3,50.37,23.92
"Capivari","SP",100,76.9,50.13,67.55
"Itaguajé","PR",88.9,55.6,50.26,46.26
"São Caetano do Sul","SP",94.7,94.7,46.13,85.39
"Garopaba","SC",77.8,100,50.32,90.69
"Nicolau Vergueiro","RS",77.8,100,50.09,90.7
"Cunha Porã","SC",66.7,100,49.54,90.7
"Cruzaltense","RS",100,100,51.42,90.71
"Poços de Caldas","MG",86.7,80,48.34,70.73
"Paulo Frontin","PR",88.9,100,52.55,90.73
"Altamira do Paraná","PR",77.8,55.6,51.14,46.35
"Lambari","MG",90.9,81.8,49.3,72.56
"Pinheiro","MA",100,33.3,48.72,24.07
"Ilha das Flores","SE",77.8,33.3,49.93,24.08
"Serra Azul","SP",77.8,66.7,61.06,57.49
"Monte Carmelo","MG",100,66.7,50.39,57.5
"Governador Valadares","MG",90.5,42.9,47.49,33.7
"Caieiras","SP",80,70,48.88,60.82
"Rurópolis","PA",100,30.8,52.07,21.63
"Pau dos Ferros","RN",90.9,63.6,48.72,54.43
"Cruzeiro do Oeste","PR",63.6,63.6,48.92,54.43
"Muçum","RS",100,100,48.01,90.84
"Ibirarema","SP",77.8,88.9,50.48,79.75
"Caetanos","BA",100,44.4,51.72,35.25
"Feijó","AC",76.9,38.5,51.57,29.35
"Fazenda Vilanova","RS",100,100,50.2,90.86
"Amambai","MS",92.3,61.5,50.03,52.36
"Arara","PB",77.8,44.4,48,35.26
"Itaqui","RS",72.7,81.8,49.88,72.66
"Monsenhor Gil","PI",88.9,22.2,49.4,13.06
"Vista Gaúcha","RS",66.7,100,50.56,90.87
"Paraí","RS",66.7,100,50.66,90.87
"Anísio de Abreu","PI",77.8,33.3,51.02,24.18
"Itaporanga","PB",90.9,54.5,49.11,45.39
"Santo Antônio do Planalto","RS",88.9,100,49.32,90.89
"Salete","SC",77.8,100,51.18,90.9
"Vale Real","RS",77.8,100,50.21,90.91
"Porto Velho","RO",81,38.1,50.78,29.02
"Torres","RS",84.6,100,48.58,90.92
"Ampére","PR",77.8,88.9,49.61,79.83
"Peixe-Boi","PA",100,33.3,51.43,24.23
"Gravatal","SC",100,100,49.7,90.94
"Novo Xingu","RS",77.8,100,49,90.95
"Erechim","RS",88.2,94.1,48.11,85.06
"Vitória do Mearim","MA",92.3,38.5,49.86,29.47
"Boa Vista do Incra","RS",88.9,100,51.26,90.97
"Itumirim","MG",100,55.6,49.83,46.6
"Mauá da Serra","PR",100,77.8,50.98,68.8
"Augusto Pestana","RS",88.9,100,49.14,91.02
"Quilombo","SC",88.9,88.9,50.43,79.92
"Baixa Grande","BA",90.9,27.3,49.68,18.33
"Iconha","ES",100,77.8,51.18,68.83
"Porto Alegre do Tocantins","TO",88.9,22.2,51.18,13.23
"Joinville","SC",89.5,94.7,49.63,85.74
"São João do Polêsine","RS",77.8,88.9,48.27,79.96
"Boa Vista do Cadeado","RS",100,100,51.5,91.07
"Sant'Ana do Livramento","RS",88.2,88.2,47.75,79.27
"Guadalupe","PI",66.7,33.3,49.55,24.37
"Correntina","BA",84.6,38.5,50.44,29.58
"Flores","PE",72.7,45.5,49.34,36.6
"Nova Russas","CE",69.2,38.5,48.52,29.6
"Salto Grande","SP",100,77.8,49.54,68.9
"Toritama","PE",92.3,53.8,49,44.91
"Abel Figueiredo","PA",66.7,33.3,52.11,24.41
"Congo","PB",100,44.4,50.74,35.52
"Pilar","AL",84.6,38.5,48.54,29.63
"Itanhandu","MG",100,88.9,49.01,80.04
"Peruíbe","SP",93.3,66.7,48.75,57.84
"Mariana Pimentel","RS",77.8,100,52.28,91.14
"Ipueira","RN",55.6,66.7,49.98,57.87
"Guimarães","MA",77.8,22.2,50.82,13.38
"Terra de Areia","RS",100,100,50.2,91.18
"Santos","SP",90.5,81,45.76,72.18
"Gabriel Monteiro","SP",77.8,77.8,50.78,68.98
"Bariri","SP",88.9,88.9,50.06,80.09
"Juruaia","MG",88.9,100,50.91,91.19
"Araioses","MA",84.6,30.8,51.78,21.99
"Monte das Gameleiras","RN",66.7,55.6,51.04,46.79
"Vitória de Santo Antão","PE",94.7,47.4,48.02,38.59
"Teofilândia","BA",100,27.3,50.28,18.5
"Coaraci","BA",81.8,27.3,49.01,18.5
"Araras","SP",72.7,81.8,49.38,73
"Coroaci","MG",66.7,33.3,50.88,24.5
"Paraíso do Norte","PR",77.8,66.7,49.7,57.92
"Taió","SC",100,100,50.35,91.25
"Diamante do Norte","PR",88.9,55.6,49.49,46.85
"Ananás","TO",88.9,33.3,50.49,24.55
"Barra do Bugres","MT",92.3,38.5,52.06,29.76
"Presidente Bernardes","SP",77.8,77.8,49.25,69.07
"Divinolândia","SP",88.9,88.9,49.85,80.18
"União da Vitória","PR",84.6,84.6,48.96,75.88
"Comodoro","MT",72.7,45.5,51.58,36.78
"Taiúva","SP",55.6,88.9,49.5,80.19
"Aquidabã","SE",72.7,36.4,48.89,27.69
"Itati","RS",88.9,100,51.86,91.29
"Cambará","PR",88.9,77.8,48.76,69.1
"Sobrado","PB",77.8,44.4,49.9,35.71
"Coronel José Dias","PI",88.9,33.3,52.37,24.62
"Cajobi","SP",88.9,77.8,51.44,69.12
"Morro Redondo","RS",77.8,100,50.35,91.33
"Pérola d'Oeste","PR",88.9,88.9,50.3,80.24
"Cantagalo","MG",100,33.3,48.75,24.65
"Belmonte","SC",77.8,88.9,51.54,80.27
"Treze Tílias","SC",77.8,88.9,49.68,80.29
"Careaçu","MG",100,77.8,51.17,69.2
"Mirassolândia","SP",88.9,77.8,51.06,69.2
"Pimenteiras do Oeste","RO",88.9,44.4,52.61,35.81
"Campo Formoso","BA",93.3,33.3,50.23,24.72
"Arroio Trinta","SC",55.6,100,49.89,91.43
"Boa Vista","RR",85.7,33.3,49.52,24.75
"Boa Vista do Gurupi","MA",88.9,22.2,50.84,13.67
"Registro","SP",84.6,69.2,49.13,60.68
"Guarani","MG",77.8,55.6,50.97,47.08
"Caxias do Sul","RS",87,91.3,49.04,82.8
"Tutóia","MA",92.3,30.8,50.54,22.31
"Aiuruoca","MG",100,77.8,52.03,69.31
"Cruzeiro da Fortaleza","MG",88.9,77.8,51.04,69.32
"Ipiranga de Goiás","GO",77.8,55.6,51.02,47.12
"Monte Alegre do Sul","SP",100,88.9,50.07,80.43
"Coronel Pacheco","MG",100,55.6,50.82,47.13
"São Pedro","SP",84.6,84.6,48.71,76.13
"Sapiranga","RS",80,93.3,49.33,84.83
"Corrente","PI",81.8,27.3,50.55,18.85
"Alumínio","SP",88.9,66.7,50.48,58.26
"Bataguassu","MS",100,54.5,50.86,46.06
"Ponta Grossa","PR",95.7,87,48.57,78.56
"Dois Irmãos","RS",88.9,100,49.52,91.57
"Jardinópolis","SP",84.6,76.9,50.31,68.47
"Buritis","RO",90.9,45.5,51.7,37.08
"Redenção","CE",90.9,27.3,49.68,18.89
"São Miguel do Guamá","PA",80,20,50.47,11.61
"São José dos Campos","SP",76.2,81,48.99,72.61
"Mogi das Cruzes","SP",95.7,69.6,48.7,61.22
"Pedras de Maria da Cruz","MG",88.9,33.3,51.31,24.92
"Porto Alegre do Piauí","PI",88.9,22.2,51.74,13.83
"Presidente Nereu","SC",88.9,100,51.09,91.64
"Ibirapuã","BA",100,33.3,51.51,24.94
"Maracajá","SC",88.9,100,50.72,91.66
"Embu das Artes","SP",88.2,52.9,48.59,44.57
"Cantá","RR",88.9,22.2,54.22,13.9
"Tuparendi","RS",77.8,100,48.45,91.71
"Jacuizinho","RS",77.8,88.9,51.18,80.61
"Mairinque","SP",100,69.2,49.83,60.92
"Afrânio","PE",72.7,54.5,49.76,46.23
"Içara","SC",93.3,100,49.81,91.74
"Ernestina","RS",88.9,100,50.58,91.74
"Santo Antônio do Descoberto","GO",100,40,49.6,31.74
"Jumirim","SP",88.9,77.8,51.61,69.59
"Passo do Sobrado","RS",77.8,100,49.84,91.8
"Aroeiras do Itaim","PI",100,33.3,52.17,25.12
"Hidrolândia","GO",90.9,54.5,51.4,46.33
"Panelas","PE",90.9,45.5,49.09,37.34
"Gaurama","RS",88.9,100,48.31,91.86
"Teutônia","RS",81.8,100,49.59,91.87
"Corupá","SC",77.8,100,50.55,91.87
"Aratiba","RS",77.8,100,50.88,91.88
"Catanduva","SP",100,84.6,48.55,76.48
"Paranaíba","MS",100,69.2,49.65,61.09
"Pitanga","PR",84.6,84.6,49.79,76.49
"Morro Agudo de Goiás","GO",77.8,55.6,49.79,47.5
"Santo Antônio do Palma","RS",55.6,100,51.99,91.91
"Serrinha","BA",76.5,29.4,49.09,21.31
"Doutor Ricardo","RS",77.8,100,50.99,91.92
"Piraí","RJ",100,54.5,49.09,46.43
"Brunópolis","SC",100,88.9,50.95,80.84
"Orobó","PE",90.9,54.5,48.37,46.44
"Alegrete","RS",60,80,49,71.94
"Lagoa de Itaenga","PE",72.7,36.4,48.74,28.34
"Pindamonhangaba","SP",90.9,72.7,49.18,64.67
"Turvo","SC",88.9,100,49.35,91.98
"Arroio do Padre","RS",77.8,100,51.79,91.98
"Coqueiro Baixo","RS",88.9,100,51.77,92.02
"Santa Luzia","BA",100,22.2,52.84,14.24
"Progresso","RS",88.9,100,51.65,92.05
"Santo Amaro da Imperatriz","SC",90.9,100,50.37,92.06
"Ipumirim","SC",77.8,100,50.76,92.06
"Custódia","PE",72.7,45.5,49.19,37.56
"Riachinho","MG",100,33.3,52.23,25.37
"Tabaí","RS",100,100,50.88,92.08
"Ibiporã","PR",88.9,77.8,48.63,69.88
"Caibi","SC",77.8,88.9,50.52,80.98
"Novo Brasil","GO",77.8,55.6,51.69,47.68
"São João da Urtiga","RS",88.9,100,50.8,92.11
"Ivaí","PR",88.9,88.9,52.16,81.01
"São Miguel do Aleixo","SE",55.6,33.3,49.76,25.42
"Augusto de Lima","MG",100,22.2,50.91,14.33
"Milagres","BA",66.7,33.3,48.54,25.43
"Goianésia","GO",100,46.7,50.5,38.84
"Angelim","PE",100,44.4,49.19,36.55
"Presidente Getúlio","SC",81.8,100,49.73,92.17
"Muliterno","RS",77.8,88.9,50.91,81.08
"Vidal Ramos","SC",100,100,51.8,92.19
"Natividade","TO",100,22.2,51.07,14.4
"Paial","SC",100,88.9,53.26,81.11
"Carapebus","RJ",88.9,44.4,50.81,36.61
"Pongaí","SP",66.7,88.9,51.51,81.13
"Cruz Alta","RS",80,93.3,47.35,85.53
"Rondinha","RS",77.8,100,49.26,92.23
"Santo Cristo","RS",88.9,100,50.01,92.25
"Estrela Velha","RS",77.8,100,50.88,92.25
"Lamim","MG",88.9,55.6,50.55,47.86
"Imbituba","SC",92.3,100,49.3,92.27
"André da Rocha","RS",88.9,88.9,50.99,81.17
"Ivoti","RS",88.9,100,49.32,92.28
"São Simão","SP",77.8,77.8,49.22,70.08
"Faina","GO",88.9,44.4,52.3,36.69
"Águas Vermelhas","MG",88.9,33.3,51.3,25.59
"Nantes","SP",100,55.6,50.13,47.91
"Bonito de Minas","MG",77.8,22.2,51.64,14.52
"Jardim","MS",72.7,54.5,49.82,46.82
"São José do Alegre","MG",66.7,77.8,49.45,70.12
"Sarapuí","SP",66.7,77.8,50.89,70.13
"Casca","RS",88.9,100,49.05,92.34
"São Domingos do Sul","RS",88.9,100,50.24,92.34
"Ipira","SC",66.7,100,49.79,92.34
"Vista Alegre do Prata","RS",88.9,100,52.2,92.35
"São Thomé das Letras","MG",88.9,66.7,53.18,59.05
"Rubim","MG",88.9,33.3,51.03,25.66
"Bombinhas","SC",77.8,88.9,50.33,81.27
"Feira da Mata","BA",100,44.4,51.7,36.77
"Picada Café","RS",88.9,100,50.06,92.38
"São Valentim do Sul","RS",88.9,100,51.29,92.39
"Arroio do Meio","RS",81.8,100,49.8,92.4
"Itapema","SC",92.3,92.3,48.89,84.71
"Mari","PB",45.5,45.5,48.96,37.91
"São João do Arraial","PI",88.9,33.3,50.37,25.71
"Vigia","PA",100,30.8,51.26,23.22
"Ruy Barbosa","BA",90.9,27.3,48.68,19.72
"Chã de Alegria","PE",88.9,33.3,49.15,25.73
"Mambaí","GO",88.9,33.3,51.36,25.73
"Terenos","MS",100,54.5,53.34,46.94
"Quinze de Novembro","RS",88.9,100,49.25,92.44
"Marilac","MG",88.9,22.2,48.8,14.67
"Paraíba do Sul","RJ",100,54.5,48.07,47
"Iporã do Oeste","SC",88.9,100,50.64,92.5
"Cacimbas","PB",88.9,33.3,48.19,25.81
"Irati","PR",100,90,49.3,82.53
"Garibaldi","RS",88.9,100,49.6,92.53
"Ourém","PA",88.9,22.2,51.76,14.73
"Olindina","BA",81.8,27.3,49.27,19.84
"Conselheiro Pena","MG",63.6,45.5,48.35,38.05
"Guaraçaí","SP",88.9,66.7,49.73,59.26
"Fonte Boa","AM",81.8,18.2,51.82,10.76
"São José do Xingu","MT",88.9,33.3,53.89,25.86
"Santa Rita do Araguaia","GO",100,44.4,51.2,36.97
"Pirenópolis","GO",90.9,54.5,51.28,47.08
"Nova Trento","SC",77.8,100,50.71,92.58
"Campos Sales","CE",72.7,45.5,47.94,38.08
"Olho d'Água das Cunhãs","MA",81.8,36.4,49.38,28.98
"Timbó","SC",100,100,49.61,92.6
"Albertina","MG",100,88.9,51.08,81.5
"Correia Pinto","SC",77.8,77.8,49.89,70.4
"Mirador","PR",100,55.6,50.71,48.22
"Guaraniaçu","PR",88.9,77.8,49.81,70.42
"Vicentina","MS",77.8,55.6,50.14,48.23
"Cabedelo","PB",80,46.7,47.68,39.34
"Cacique Doble","RS",77.8,77.8,49.65,70.44
"Itapevi","SP",82.4,52.9,49.18,45.58
"Ererê","CE",66.7,44.4,50.12,37.08
"Congonhas","MG",84.6,46.2,49.12,38.89
"Tocantins","MG",100,54.5,49.89,47.2
"Balneário Gaivota","SC",88.9,100,49.7,92.71
"Itamarati","AM",88.9,22.2,52.7,14.92
"Tomé-Açu","PA",86.7,26.7,51.88,19.42
"Aiquara","BA",88.9,22.2,51.09,14.93
"Itaquara","BA",88.9,33.3,50.04,26.05
"Áurea","RS",77.8,100,49.3,92.77
"Silvânia","GO",81.8,54.5,51.38,47.27
"Várzea da Palma","MG",100,30.8,50.69,23.58
"Jacareí","SP",69.2,76.9,48.81,69.69
"Arabutã","SC",66.7,100,50.87,92.8
"Valentim Gentil","SP",100,77.8,50.27,70.61
"Afonso Cláudio","ES",92.3,61.5,50.46,54.31
"Orleans","SC",90.9,100,49.71,92.83
"Guarantã do Norte","MT",77.8,55.6,51.25,48.43
"Águas Lindas de Goiás","GO",89.5,36.8,50.02,29.63
"Imaruí","SC",77.8,100,50.25,92.84
"Mariano Moro","RS",88.9,100,51.27,92.85
"Ouro Branco","RN",100,77.8,50.1,70.65
"Chuvisca","RS",88.9,100,52.65,92.86
"Santa Maria do Pará","PA",100,27.3,49.91,20.19
"Almirante Tamandaré do Sul","RS",88.9,100,50.36,92.89
"Triunfo Potiguar","RN",88.9,44.4,52.55,37.29
"Vespasiano","MG",82.4,35.3,48.8,28.19
"Areial","PB",88.9,44.4,47.26,37.3
"Jardim","CE",81.8,27.3,48.96,20.23
"Wagner","BA",100,22.2,50.07,15.13
"Massaranduba","SC",100,100,50.76,92.94
"Normandia","RR",88.9,11.1,52.33,4.06
"Pedra Grande","RN",88.9,33.3,50.33,26.27
"Mirabela","MG",100,33.3,50.83,26.29
"Nonoai","RS",77.8,77.8,49.13,70.79
"Tarrafas","CE",88.9,55.6,49.97,48.6
"Bom Jesus dos Perdões","SP",81.8,81.8,50.35,74.81
"Pilar do Sul","SP",72.7,81.8,50.8,74.81
"Caiçara","RS",88.9,88.9,50.98,81.92
"Novo Horizonte","SC",88.9,88.9,52.73,81.93
"Capanema","PA",86.7,33.3,49.49,26.34
"São João do Sul","SC",77.8,100,50.41,93.04
"Rancho Queimado","SC",88.9,100,50.87,93.05
"Nova Redenção","BA",100,22.2,50.65,15.25
"Armazém","SC",77.8,100,50.61,93.06
"Ermo","SC",88.9,100,52,93.07
"São Miguel do Guaporé","RO",81.8,45.5,51.9,38.57
"Ibirama","SC",90.9,100,50.01,93.08
"Padre Paraíso","MG",81.8,27.3,49.52,20.38
"Balsas","MA",76.5,29.4,49.77,22.48
"Jiquiriçá","BA",100,27.3,50.68,20.39
"Nova Bassano","RS",77.8,100,50.68,93.09
"Taquara","RS",60,93.3,49.17,86.41
"Bacuri","MA",81.8,18.2,51.11,11.31
"General Sampaio","CE",88.9,33.3,50.88,26.41
"Itabela","BA",90.9,27.3,51.01,20.42
"Riachuelo","SE",77.8,22.2,48.68,15.32
"Manoel Viana","RS",66.7,88.9,50.28,82.03
"Riacho dos Machados","MG",100,33.3,50.8,26.45
"Macarani","BA",100,36.4,50.21,29.56
"Formoso","GO",88.9,44.4,50.67,37.58
"Serrano do Maranhão","MA",100,11.1,53.48,4.3
"Piraí do Norte","BA",88.9,22.2,53.01,15.4
"Nova Araçá","RS",77.8,100,48.91,93.2
"Campo Alegre","AL",73.3,33.3,49.25,26.5
"Jaciara","MT",90.9,45.5,50.61,38.71
"Rio das Antas","SC",88.9,77.8,51.33,71.02
"Corumbiara","RO",77.8,44.4,53.64,37.64
"Florianópolis","SC",95.7,91.3,48.2,84.55
"Guarapuava","PR",90.5,76.2,48.88,69.45
"Senador José Bento","MG",88.9,88.9,53.75,82.17
"Passagem","RN",77.8,44.4,50.22,37.69
"Itapuã do Oeste","RO",77.8,33.3,53.29,26.59
"Salgado Filho","PR",88.9,77.8,51.06,71.09
"Missal","PR",88.9,88.9,50.31,82.2
"Novo Mundo","MT",100,44.4,53.41,37.7
"Rio do Oeste","SC",88.9,100,50.76,93.31
"Taquari","RS",88.9,100,48.63,93.32
"Frei Gaspar","MG",88.9,22.2,50.48,15.53
"Benjamin Constant","AM",84.6,15.4,51.66,8.75
"Witmarsum","SC",100,100,50.75,93.36
"Nhandeara","SP",77.8,88.9,49.24,82.26
"Itabira","MG",100,35.3,48.03,28.67
"Pombal","PB",84.6,53.8,47.9,47.18
"São Jorge do Ivaí","PR",88.9,77.8,49.37,71.2
"Macau","RN",76.9,38.5,48.98,31.91
"Atalanta","SC",88.9,100,50.33,93.42
"Charqueadas","RS",76.9,92.3,55.3,85.72
"Alto Bela Vista","SC",55.6,100,50.12,93.42
"Urupês","SP",88.9,88.9,49.72,82.33
"Peritiba","SC",77.8,100,49.67,93.44
"Jaguariúna","SP",76.9,76.9,49.66,70.35
"Campo Maior","PI",84.6,23.1,48.21,16.55
"Icó","CE",93.3,40,48.71,33.46
"Santiago","RS",84.6,92.3,48.03,85.77
"Prados","MG",77.8,55.6,50.2,49.08
"Santa Juliana","MG",77.8,66.7,51.43,60.18
"Itabuna","BA",95.2,28.6,47.36,22.09
"Januária","MG",100,26.7,49.41,20.2
"Santa Margarida","MG",100,54.5,50.52,48
"Araraquara","SP",88.9,77.8,48.24,71.3
"Uruana de Minas","MG",88.9,33.3,50.29,26.8
"Damolândia","GO",88.9,55.6,50.35,49.11
"Pirapozinho","SP",81.8,63.6,48.93,57.11
"Brodowski","SP",90.9,81.8,49.58,75.31
"Lontras","SC",77.8,100,50.04,93.51
"Santo Antônio da Barra","GO",100,44.4,53.04,37.92
"Itararé","SP",100,84.6,49.07,78.12
"Sombrio","SC",100,100,49.12,93.55
"Ibarama","RS",77.8,100,51.02,93.55
"Francisco Ayres","PI",77.8,22.2,49.61,15.75
"Camaçari","BA",100,23.8,49.68,17.36
"Rodeio","SC",77.8,100,50.24,93.56
"São José do Piauí","PI",66.7,55.6,49.78,49.17
"Bom Jardim de Minas","MG",88.9,77.8,49.98,71.37
"Lapa","PR",100,77.8,50.4,71.38
"Senador Canedo","GO",100,38.5,49.99,32.1
"Itapaci","GO",100,45.5,50.81,39.1
"São Luís de Montes Belos","GO",76.9,53.8,49.05,47.4
"São Leopoldo","RS",76.9,92.3,48.69,85.9
"Camocim de São Félix","PE",72.7,54.5,48.66,48.11
"Rio Maria","PA",90.9,36.4,51.77,30.02
"Treviso","SC",88.9,100,50.72,93.62
"Itajaí","SC",85.7,90.5,49.14,84.12
"Santo Expedito do Sul","RS",77.8,100,50.35,93.62
"Agronômica","SC",88.9,100,50.92,93.64
"Itiquira","MT",100,44.4,54.23,38.06
"Santo Antônio de Jesus","BA",100,28.6,47.22,22.28
"Brumadinho","MG",84.6,53.8,50.11,47.48
"Curimatá","PI",77.8,22.2,50.69,15.88
"São Jerônimo","RS",90.9,90.9,49.81,84.59
"Colniza","MT",100,44.4,53.39,38.12
"Serra dos Aimorés","MG",100,33.3,49.6,27.02
"Rio Real","BA",92.3,30.8,50.19,24.53
"Ourolândia","BA",81.8,27.3,50.91,21.03
"Vera Mendes","PI",77.8,33.3,49.97,27.03
"Ceará-Mirim","RN",66.7,33.3,49.53,27.04
"Alegria","RS",66.7,88.9,49.97,82.7
"Chapada dos Guimarães","MT",63.6,27.3,52.15,21.11
"São João do Oriente","MG",88.9,44.4,49.62,38.21
"Capitão","RS",77.8,100,51.33,93.82
"Olho d'Água","PB",100,66.7,48.36,60.53
"Florânia","RN",88.9,55.6,50.14,49.44
"Conceição do Canindé","PI",66.7,33.3,50.21,27.15
"Novo Acordo","TO",88.9,22.2,51.06,16.08
"Independência","RS",88.9,88.9,49.76,82.8
"Palmeira dos Índios","AL",86.7,40,47.72,33.9
"Wanderley","BA",77.8,33.3,52.03,27.2
"Barão","RS",100,100,50.72,93.9
"Nova Erechim","SC",88.9,88.9,51.58,82.83
"Euclides da Cunha Paulista","SP",100,44.4,50.41,38.34
"Andirá","PR",88.9,77.8,48.72,71.76
"Antônio Carlos","SC",77.8,100,50.38,93.97
"São Roque","SP",100,73.3,49.18,67.28
"Umari","CE",88.9,44.4,49.99,38.38
"Vila Maria","RS",66.7,100,50.13,93.98
"Itaeté","BA",88.9,22.2,50.34,16.19
"Pinhalão","PR",88.9,77.8,50.93,71.79
"Bom Jardim","MA",76.9,23.1,50.83,17.11
"Pedra Mole","SE",77.8,22.2,50.3,16.21
"Parazinho","RN",66.7,33.3,50.24,27.31
"Alpinópolis","MG",55.6,77.8,51.35,71.82
"Goianésia do Pará","PA",92.3,30.8,51.75,24.83
