"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Conceição das Alagoas","MG",81.8,100,52.29,55.52
"São Gonçalo do Rio Abaixo","MG",66.7,66.7,49.83,22.42
"Porto da Folha","SE",72.7,81.8,51.14,37.52
"Iapu","MG",88.9,88.9,49.75,44.64
"Jateí","MS",100,77.8,52.11,33.56
"Ribeirão Bonito","SP",100,100,50.3,55.82
"Francisco Macedo","PI",77.8,66.7,49.88,22.54
"Guaíra","PR",72.7,100,48.63,55.89
"Santana do Garambéu","MG",100,88.9,52.42,44.85
"Chapadão do Céu","GO",100,88.9,52.34,44.88
"Pacaembu","SP",88.9,100,58.55,56.14
"São João do Rio do Peixe","PB",100,90.9,49.12,47.09
"São José do Campestre","RN",88.9,77.8,49.77,34.09
"Fundão","ES",81.8,81.8,49.86,38.11
"Panorama","SP",66.7,100,50.14,56.35
"Pequi","MG",100,88.9,50.1,45.26
"Rio Manso","MG",88.9,100,52.56,56.44
"Olho-d'Água do Borges","RN",44.4,88.9,51.48,45.49
"Indiavaí","MT",100,77.8,52.11,34.42
"Petrolina de Goiás","GO",88.9,88.9,52.2,45.53
"Lebon Régis","SC",100,100,51.37,56.63
"Miranorte","TO",66.7,77.8,50.88,34.45
"Apiaí","SP",100,90.9,49.93,47.64
"Cardoso Moreira","RJ",77.8,100,49.76,56.85
"Caiana","MG",100,100,52.07,56.88
"Tauá","CE",80,86.7,49.1,43.75
"Nova Laranjeiras","PR",88.9,100,50.63,57.1
"Vicentinópolis","GO",100,88.9,52.54,46.11
"Casinhas","PE",77.8,88.9,49.39,46.14
"Muqui","ES",88.9,88.9,50.4,46.16
"Santo Antônio de Lisboa","PI",77.8,77.8,49.54,35.08
"Mundo Novo","MS",81.8,90.9,48.47,48.21
"Salto do Céu","MT",100,77.8,51.61,35.11
"Isaías Coelho","PI",55.6,55.6,50.12,12.94
"Crato","CE",89.5,73.7,47.45,31.11
"Aimorés","MG",100,81.8,48.32,39.21
"Simões","PI",88.9,66.7,49.92,24.16
"Lagoa Formosa","MG",90.9,100,50.42,57.47
"Santa Maria de Itabira","MG",88.9,66.7,49.62,24.18
"Montezuma","MG",77.8,77.8,50.58,35.33
"Biquinhas","MG",100,88.9,50.19,46.5
"Amarante do Maranhão","MA",84.6,61.5,52.15,19.14
"Itaporã","MS",72.7,90.9,49.88,48.55
"Campina Verde","MG",100,100,50.73,57.67
"Ielmo Marinho","RN",88.9,66.7,51.57,24.44
"Santana do Piauí","PI",88.9,77.8,48.79,35.55
"Almas","TO",88.9,55.6,52.27,13.35
"Restinga","SP",88.9,100,50.04,57.77
"Currais Novos","RN",69.2,92.3,47.77,50.15
